id,label
20800,1
20801,0
20802,1
20803,1
20804,1
20805,0
20806,1
20807,0
20808,0
20809,0
20810,1
20811,1
20812,1
20813,1
20814,1
20815,0
20816,0
20817,1
20818,1
20819,0
20820,0
20821,1
20822,0
20823,1
20824,0
20825,1
20826,0
20827,1
20828,0
20829,0
20830,0
20831,1
20832,0
20833,0
20834,0
20835,0
20836,1
20837,1
20838,0
20839,0
20840,0
20841,1
20842,0
20843,1
20844,0
20845,0
20846,1
20847,1
20848,0
20849,0
20850,1
20851,1
20852,0
20853,1
20854,1
20855,1
20856,1
20857,0
20858,1
20859,0
20860,0
20861,1
20862,0
20863,1
20864,0
20865,0
20866,1
20867,1
20868,0
20869,0
20870,1
20871,1
20872,0
20873,0
20874,0
20875,0
20876,1
20877,1
20878,0
20879,0
20880,0
20881,0
20882,1
20883,1
20884,0
20885,0
20886,1
20887,0
20888,1
20889,0
20890,0
20891,1
20892,0
20893,1
20894,0
20895,1
20896,1
20897,1
20898,0
20899,0
20900,1
20901,0
20902,0
20903,1
20904,1
20905,1
20906,0
20907,1
20908,0
20909,0
20910,0
20911,1
20912,1
20913,0
20914,1
20915,0
20916,0
20917,0
20918,0
20919,0
20920,1
20921,1
20922,0
20923,0
20924,1
20925,1
20926,1
20927,0
20928,0
20929,0
20930,0
20931,1
20932,0
20933,0
20934,0
20935,1
20936,0
20937,1
20938,1
20939,0
20940,1
20941,1
20942,1
20943,1
20944,1
20945,1
20946,1
20947,1
20948,1
20949,0
20950,1
20951,1
20952,1
20953,0
20954,0
20955,0
20956,1
20957,0
20958,0
20959,1
20960,0
20961,1
20962,0
20963,0
20964,1
20965,0
20966,0
20967,0
20968,0
20969,1
20970,1
20971,0
20972,1
20973,1
20974,0
20975,1
20976,0
20977,1
20978,1
20979,1
20980,0
20981,0
20982,0
20983,0
20984,1
20985,0
20986,1
20987,0
20988,1
20989,1
20990,1
20991,0
20992,1
20993,1
20994,1
20995,1
20996,1
20997,1
20998,1
20999,0
21000,0
21001,1
21002,0
21003,1
21004,1
21005,0
21006,0
21007,1
21008,0
21009,1
21010,1
21011,0
21012,1
21013,0
21014,0
21015,0
21016,1
21017,0
21018,1
21019,0
21020,0
21021,1
21022,1
21023,1
21024,0
21025,0
21026,1
21027,0
21028,1
21029,1
21030,0
21031,1
21032,0
21033,1
21034,0
21035,1
21036,1
21037,0
21038,0
21039,1
21040,1
21041,0
21042,1
21043,0
21044,0
21045,0
21046,0
21047,0
21048,1
21049,0
21050,1
21051,0
21052,0
21053,0
21054,1
21055,0
21056,0
21057,1
21058,0
21059,0
21060,1
21061,1
21062,0
21063,0
21064,0
21065,0
21066,1
21067,1
21068,0
21069,0
21070,0
21071,0
21072,0
21073,1
21074,0
21075,0
21076,1
21077,1
21078,1
21079,1
21080,0
21081,1
21082,0
21083,1
21084,1
21085,1
21086,0
21087,0
21088,1
21089,0
21090,1
21091,0
21092,1
21093,0
21094,1
21095,1
21096,0
21097,0
